case_id	case_family	label	vuln_type	input_mode	experiment_line	system_id	system_mode	target_hit	fixed_guard_explained	off_target	cost	failure_mode_primary	failure_mode_secondary	conclusion	evidence_ref
PT-PY-FILE-001	PT-PY-FILE	vulnerable	path_traversal	file	openant_learning	openant	round1_stage2_confirmed	true	not_applicable	false	stage1_results=2; stage2_confirmed=1			Narrow file PT case recovered the benchmark anchor and survived Stage2 verification.	reports/systems/openant/registries/openant_case_matrix.csv
PT-PY-REPO-001	PT-PY-REPO	vulnerable	path_traversal	repo	openant_learning	openant	round1_stage1_anchor_hit	true	not_applicable	false	stage1_results=3; stage1_vulnerable=2; stage2=not_selected			Repo PT case hit the benchmark anchor in Stage1 and remained one of the clearest target-aligned OpenAnt positives.	reports/systems/openant/registries/openant_case_matrix.csv
PT-PY-REPO-002	PT-PY-REPO	near_miss	path_traversal	repo	openant_learning	openant	round1_stage2_needs_review	false	false	true	stage1_results=3; stage2_confirmed=0; stage2_review=1	off_target_broad_scan	differential_guard_unresolved	Near-miss remained off-target; Stage2 pruned noise but did not re-anchor to the benchmark guard logic.	reports/systems/openant/registries/openant_case_matrix.csv
SSRF-PY-REPO-001	SSRF-PY-REPO	vulnerable	ssrf	repo	openant_learning	openant	round1_stage1_offtarget_vuln	false	not_applicable	true	stage1_results=2; stage1_vulnerable=2	target_framing_limit		OpenAnt surfaced a real SSRF-like signal, but the primary finding did not align to the benchmark anchor.	reports/systems/openant/registries/openant_case_matrix.csv
SSRF-PY-REPO-002	SSRF-PY-REPO	near_miss	ssrf	repo	openant_learning	openant	round1_stage1_clean_negative	true	false	false	stage1_results=2; stage1_vulnerable=0			Stage1 stayed SAFE on the near-miss SSRF case, making this the cleanest negative behavior in the round1 set.	reports/systems/openant/registries/openant_case_matrix.csv
SSTI-PY-REPO-001	SSTI-PY-REPO	vulnerable	ssti	repo	openant_learning	openant	round1_stage2_confirmed_offtarget	false	not_applicable	true	stage1_results=2; stage2_confirmed=1	target_framing_limit		Stage2 confirmed a real issue, but it remained anchored on an off-target debug finding rather than the benchmark SSTI path.	reports/systems/openant/registries/openant_case_matrix.csv
SSRF-PY-REPO-CVE-2025-2828-VULN	SSRF-PY-REPO-CVE-2025-2828	vulnerable	ssrf	repo	openant_learning	openant	round1_large_repo_stage1	false	not_applicable	true	stage1_units=575; vulnerable_like=94; stage2=reserved	target_framing_limit	off_target_broad_scan	Large-repo scan found many SSRF-adjacent risks but did not stabilize on the benchmark target anchor.	reports/systems/openant/registries/openant_case_matrix.csv
SSTI-PY-REPO-CVE-2024-45053-FIXED	SSTI-PY-REPO-CVE-2024-45053	near_miss	ssti	repo	openant_learning	openant	round1_stage2_mixed	false	false	true	stage1_units=595; confirmed=13; review=29	off_target_broad_scan	differential_guard_unresolved	Fixed-side case still produced many confirmed off-target findings; verify did not recover target-local guard semantics.	reports/systems/openant/registries/openant_case_matrix.csv
A-synthetic-PT-PY-FILE-001	PT-PY-FILE	vulnerable	path_traversal	file	deepaudit_boundary	deepaudit	A_instant_analysis	true	not_applicable	false	time=35.8s; findings=5			Clearest current upper bound for DeepAudit's base vulnerability semantics on a synthetic file case.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
A-synthetic-SSRF-PY-FILE-001	SSRF-PY-FILE	vulnerable	ssrf	file	deepaudit_boundary	deepaudit	A_instant_analysis	true	not_applicable	false	time=44.0s; findings=7			Synthetic SSRF file case shows the same fast upper-bound behavior: target finding lands first and returns within a single instant-analysis cycle.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
B-synthetic-PT-PY-FILE-001-mini-repo	PT-PY-FILE	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	B_synthetic_mini_repo	partial	not_applicable	partial	tokens=64501; time=202s; tool_calls=4	target_framing_limit		Minimal repo wrapping preserved PT intuition but introduced endpoint/line drift, so this is not yet a clean repo-facing benchmark hit.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
B-real-world-PT-PY-REPO-CVE-2024-32982-VULN	PT-PY-REPO-CVE-2024-32982	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	B_real_world_trimmed_repo	true	not_applicable	false	tokens=174056; time=443s; tool_calls=16			Trimmed real-world repo structure was enough to recover the Litestar PT target, but the workflow remained too expensive to count as a clean default operating point.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
C-synthetic-PT-PY-REPO-001	PT-PY-REPO	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	C_synthetic_target_files	true	not_applicable	partial	tokens=255182; time=347s; tool_calls=15	target_framing_limit		Explicit target-files narrowing stabilized the synthetic PT repo case, but the first finding still framed the issue at the entry layer rather than as the best target summary.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
C-real-world-PT-PY-REPO-CVE-2024-32982-VULN	PT-PY-REPO-CVE-2024-32982	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	C_real_world_target_files	true	not_applicable	false	tokens=155653; time=340s; tool_calls=13			Current strongest controlled repo workflow hit for DeepAudit on a real-world PT case.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
D-synthetic-PT-PY-REPO-001	PT-PY-REPO	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	D_synthetic_no_target_files	partial	not_applicable	true	tokens=177167; time=217s; tool_calls=18	off_target_broad_scan	target_framing_limit	Baseline-like synthetic repo audit still reached the PT target, but only after a broad-scan path where the target finding fell behind auxiliary entry-layer alerts.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
D-real-world-PT-PY-REPO-CVE-2024-32982-VULN	PT-PY-REPO-CVE-2024-32982	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	D_real_world_no_target_files	partial	not_applicable	true	tokens=306548; time=668s; tool_calls=26	off_target_broad_scan	target_framing_limit	Large-repo D-shape can still recover target signal, but it does so with high cost and broad-scan noise.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
C-synthetic-SSRF-PY-REPO-001	SSRF-PY-REPO	vulnerable	ssrf	repo	deepaudit_minimal_expansion	deepaudit	C_synthetic_target_files	true	not_applicable	false	tokens=159260; time=278s; tool_calls=12			Target-files narrowing also transfers to a non-PT synthetic repo: the first finding lands directly on SSRF and the top findings stay on the target chain.	artifacts/deepaudit_minimal_expansion/20260702T061515Z/expansion_matrix.tsv
D-synthetic-SSRF-PY-REPO-001	SSRF-PY-REPO	vulnerable	ssrf	repo	deepaudit_minimal_expansion	deepaudit	D_synthetic_no_target_files	true	not_applicable	partial	tokens=146070; time=241s; tool_calls=16	target_framing_limit		Without target_files, the same synthetic SSRF repo still hits the target but spreads attention across service and structure-level explanations.	artifacts/deepaudit_minimal_expansion/20260702T061515Z/expansion_matrix.tsv
C-real-world-PT-PY-REPO-CVE-2024-32982-VULN-repeat1	PT-PY-REPO-CVE-2024-32982	vulnerable	path_traversal	repo	deepaudit_minimal_expansion	deepaudit	C_real_world_target_files_repeat	true	not_applicable	false	tokens=170026; time=377s; tool_calls=13			Repeat run confirms that the C-shape Litestar/PT hit is real, while also showing that ranking and wording drift more than raw target recall.	artifacts/deepaudit_minimal_expansion/20260702T061515Z/expansion_matrix.tsv
C-real-world-SSTI-PY-REPO-CVE-2024-45053-VULN	SSTI-PY-REPO-CVE-2024-45053	vulnerable	ssti	repo	deepaudit_minimal_expansion	deepaudit	C_real_world_target_files	true	not_applicable	false	tokens=137788; time=220s; tool_calls=10			Second real-world family confirms that the C-shape workflow is usable beyond the Litestar/PT line.	artifacts/deepaudit_minimal_expansion/20260702T061515Z/expansion_matrix.tsv
D-real-world-SSTI-PY-REPO-CVE-2024-45053-VULN	SSTI-PY-REPO-CVE-2024-45053	vulnerable	ssti	repo	deepaudit_minimal_expansion	deepaudit	D_real_world_no_target_files	true	not_applicable	partial	tokens=748569; time=596s; tool_calls=41	target_framing_limit		Full-repo D-shape eventually recovered the true SSTI chain, but only with much more generic framing and extreme cost.	artifacts/deepaudit_minimal_expansion/20260702T061515Z/expansion_matrix.tsv
PT-JA-REPO-001	PT-JA-REPO-001	vulnerable	path_traversal	repo	iris_official_behavior	iris	official_smoke_runtime_compat	false	not_applicable	false	api_calls=2; candidates=2; sources=0; sinks=1	query_semantics_mismatch		Official smoke workflow ran to completion, but the minimal PT repo still collapsed before any target-aligned path could form.	reports/systems/iris/registries/canonical_results.tsv
SSRF-JA-REPO-001	SSRF-JA-REPO-001	vulnerable	ssrf	repo	iris_official_behavior	iris	official_smoke_runtime_compat	false	not_applicable	false	api_calls=2; candidates=0; sources=0; sinks=0	candidate_gate_failure		Official smoke workflow never exposed usable target candidates on the pilot SSRF repo, so the run ended with an empty final result set.	reports/systems/iris/registries/canonical_results.tsv
PT-JA-REPO-CVE-2024-53677-VULN	PT-JA-REPO-CVE-2024-53677	vulnerable	path_traversal	repo	iris_official_behavior	iris	official_smoke_runtime_compat	false	not_applicable	false	api_calls=129; candidates=19; sources=0; sinks=0	query_semantics_mismatch		Smoke run completed end-to-end but still produced no target-aligned vulnerability signal.	reports/systems/iris/registries/canonical_results.tsv
SSRF-JA-REPO-CVE-2023-3432-VULN	SSRF-3432	vulnerable	ssrf	repo	iris_official_behavior	iris	official_smoke_runtime_compat	false	not_applicable	false	api_calls=199; candidates=71; sources=0; sinks=6	query_semantics_mismatch		Generic network surfaces survived the workflow, but the target source semantics did not.	reports/systems/iris/registries/canonical_results.tsv
SSRF-JA-REPO-CVE-2023-3432-FIXED	SSRF-3432	near_miss	ssrf	repo	iris_official_behavior	iris	official_smoke_runtime_compat	false	false	false	api_calls=201; candidates=72; sources=0; sinks=6	query_semantics_mismatch	differential_guard_unresolved	Fixed-side smoke run looked almost identical to the vulnerable side and still failed to explain the guard semantics that should block the benchmark path.	reports/systems/iris/registries/canonical_results.tsv
perwendel__spark_CVE-2018-9159_2.7.1	PT-official-anchor	vulnerable	path_traversal	repo	iris_official_case_trustworthiness	iris	DEEPSEEK_TRUST01_anchor_weak_reproduction	true	not_applicable	false	results=2; paths=8; stage3_parse_errors=6			Official anchor case was weakly reproduced locally: recall survived, but alerts and paths were far below the upstream claim.	reports/systems/iris/summaries/iris_official_case_claim_vs_local_summary.md
perwendel__spark_CVE-2016-9177_2.5.1	PT-official-contrast	vulnerable	path_traversal	repo	iris_official_case_trustworthiness	iris	DEEPSEEK_TRUST01_contrast_weak_reproduction	true	not_applicable	false	results=4; paths=11; posthoc_paths=7; stage3_parse_errors=4			Contrast case also weakly reproduced locally: the target method was recovered, but output volume stayed far below the official row and shrank further after posthoc filtering.	reports/systems/iris/summaries/iris_official_case_claim_vs_local_summary.md
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1	vertx-web	vulnerable	ssrf	repo	iris_official_case_trustworthiness	iris	DEEPSEEK_TRUST01_differential1_path_mismatch	false	not_applicable	true	results=6; paths=22; posthoc_paths=15; stage3_parse_errors=15	target_framing_limit		Local run produced many paths, but they did not land on the official ground-truth method, so path volume did not translate into benchmark recall.	reports/systems/iris/summaries/iris_official_case_claim_vs_local_summary.md
jmrozanec__cron-utils_CVE-2021-41269_9.1.5	cron-utils	vulnerable	code_injection	repo	iris_official_case_trustworthiness	iris	DEEPSEEK_TRUST01_differential2	false	not_applicable	false	sources=0; sinks=1; paths=0	exception_transport_failure		Official differential case collapsed to a stable source-zero failure and never recovered the exception-message bridge locally.	reports/systems/iris/summaries/iris_official_case_claim_vs_local_summary.md
rhuss__jolokia_CVE-2018-1000129_1.4.0	jolokia	vulnerable	code_injection	repo	iris_official_case_trustworthiness	iris	DEEPSEEK_TRUST01_control_sink_zero	false	not_applicable	false	sources=12; sinks=0; paths=0; stage3_parse_errors=27	query_semantics_mismatch		Control case showed the opposite collapse pattern from cron-utils: sources were present, but sink semantics never formed and the official high-volume claim disappeared locally.	reports/systems/iris/summaries/iris_official_case_claim_vs_local_summary.md
PT-JA-REPO-CVE-2024-53677-VULN	PT-JA-REPO-CVE-2024-53677	vulnerable	path_traversal	repo	iris_self_comparison	iris	DEEPSEEK_SELF01_independent_case_rerun	false	not_applicable	false	candidates=25; sources=6; sinks=0; tp=5; posthoc_paths=0	query_semantics_mismatch		Independent self-run recovered source labels but still produced no sink and no final path, so the failure moved past pure Stage-3 emptiness without reaching a target hit.	artifacts/iris_case_trustworthiness/DEEPSEEK_SELF01/summary.tsv
SSRF-JA-REPO-CVE-2023-3432-VULN	SSRF-3432	vulnerable	ssrf	repo	iris_self_comparison	iris	DEEPSEEK_SELF01_independent_case_rerun	false	not_applicable	false	candidates=77; sources=1; sinks=6; tp=15; stage3_parse_errors=1; posthoc_paths=0	query_semantics_mismatch		Independent self-run recovered partial source plus stable sink/summary labels, but the vulnerable SSRF chain still never materialized into a final path.	artifacts/iris_case_trustworthiness/DEEPSEEK_SELF01/summary.tsv
SSRF-JA-REPO-CVE-2023-3432-FIXED	SSRF-3432	near_miss	ssrf	repo	iris_self_comparison	iris	DEEPSEEK_SELF01_independent_case_rerun	true	false	false	candidates=78; sources=0; sinks=6; tp=11; stage3_parse_errors=2; posthoc_paths=0			Independent fixed-side control remained zero-path after cache-free single-case execution, which preserved the correct near-miss verdict without showing explicit guard reasoning.	artifacts/iris_case_trustworthiness/DEEPSEEK_SELF01/summary.tsv
PT-JA-REPO-001	PT-JA-REPO-001	family	path_traversal	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_compile_recipe_source_recovery	true	not_applicable	not_applicable	target_adjacent_apis=3; missing_candidates=0; oracle_target_match=true			Formal diagnosis showed candidate selection was not primary on this family: sink and summary were already present, and recovery only required a minimal in-DB source oracle after compile-scope loss.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
SSRF-JA-REPO-001	SSRF-JA-REPO-001	family	ssrf	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_candidate_selection_dominant	true	not_applicable	not_applicable	target_adjacent_apis=2; missing_candidates=1; oracle_target_match=true	candidate_gate_failure		This is the only formal family where candidate selection was primary: reintroducing the filtered RestTemplate sink and normalizing it to positional args restored the target-aligned SSRF hit.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
PT-JA-REPO-CVE-2024-53677-VULN	PT-JA-REPO-CVE-2024-53677	family	path_traversal	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_not_primary_query_semantics	false	not_applicable	not_applicable	target_adjacent_apis=2; missing_candidates=1; oracle_target_match=false	query_semantics_mismatch		Even after restoring the missing upload sink candidate, the fixed query/template stack still produced zero alarms, so this family does not reduce to candidate loss alone.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
SSRF-JA-REPO-CVE-2023-3432-VULN	SSRF-3432	family	ssrf	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_not_primary_source_semantics	false	not_applicable	not_applicable	target_adjacent_apis=3; missing_candidates=1; oracle_target_match=not_run	query_semantics_mismatch		Candidate widening only promoted an irrelevant System.getenv source fragment; the decisive missing piece stayed the real request-origin source semantics around LoadJson.path.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1	vertx-web	family	ssrf	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_not_primary_target_alignment	false	not_applicable	not_applicable	target_adjacent_apis=4; missing_candidates=0; oracle_target_match=false	target_framing_limit		Baseline already contained the key request, sink, and summary pieces; the family still failed because the results landed on the wrong paths rather than the official differential target.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
jmrozanec__cron-utils_CVE-2021-41269_9.1.5	cron-utils	family	code_injection	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_not_primary_exception_bridge	false	not_applicable	not_applicable	target_adjacent_apis=3; missing_candidates=0; oracle_target_match=not_run	exception_transport_failure		Formal diagnosis ruled candidate selection out as the main blocker: source and sink were already present, but the exception-message bridge never entered summary semantics.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
rhuss__jolokia_CVE-2018-1000129_1.4.0	jolokia	family	code_injection	family_context	iris_candidate_selection_formal	iris	CANDSEL_formal_not_primary_llm_variance	true	not_applicable	not_applicable	target_adjacent_apis=4; missing_candidates=0; rerun_target_match=true			Same-DB rerun evidence already recovered the official target without candidate changes, so candidate selection is not the primary explanation for this family.	reports/systems/iris/summaries/iris_candidate_selection_all7_formal_results.md
jmrozanec__cron-utils_CVE-2021-41269_9.1.5	cron-utils	family	code_injection	family_context	iris_llm_variance	iris	DEEPSEEK_LLMVAR01_stable_source_zero	false	not_applicable	not_applicable	reruns=3; parse_errors=7/7/5; sources=0/0/0; sinks=1/2/2	exception_transport_failure		Three reruns preserved the same source-zero collapse, so this official success claim remained unsupported under the frozen local configuration.	reports/systems/iris/summaries/iris_llm_variance_rerun_results.md
rhuss__jolokia_CVE-2018-1000129_1.4.0	jolokia	family	code_injection	family_context	iris_llm_variance	iris	DEEPSEEK_LLMVAR01_reachable_not_stable	partial	not_applicable	not_applicable	reruns=3; parse_errors=23/20/26; sinks=0/5/5; recall=false/true/false			Reruns proved the official target is reachable locally, but only as a high-variance outcome rather than a single-run stable behavior.	reports/systems/iris/summaries/iris_llm_variance_rerun_results.md
SSRF-JA-REPO-001	SSRF-JA-REPO-001	vulnerable	ssrf	repo	architecture_attribution	iris-style-workflow	E1_C_oracle_summary_path	true	not_applicable	false	evidence_replay; no_normalized_cost			Candidate exposure alone was insufficient; recovery only happened after injecting the minimal summary/path semantics.	artifacts/architecture_attribution/E1/AAE1_PILOT_SSRF001_20260706T115321Z/family_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	iris-style-workflow	E2_M1_original	false	false	false	structured_labels; source_predicate_empty=true; parse_errors=2/1	query_semantics_mismatch	differential_guard_unresolved	Original static-gated pair analysis collapsed to an empty-source generic-network surface and did not explain the fixed-side guard.	artifacts/architecture_attribution/E2/AAE2_PAIR_SSRF3432_20260707T123717Z/family_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	iris-style-workflow	E2_M3_differential_target_context_constrained	true	true	false	constrained_json; parse_errors=0			Constrained pair-level target context was enough to restore both the vulnerable LoadJson -> SURL path and the fixed-side @/userinfo rejection semantics.	artifacts/architecture_attribution/E2/AAE2_PAIR_SSRF3432_20260707T123717Z/family_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	differential-auditor	E2_M4_differential_free_auditor	true	true	false	freeform_audit; no_normalized_cost			Local differential framing restored the vulnerable path and the fixed-side @/userinfo rejection semantics without an explicit schema.	artifacts/architecture_attribution/E2/AAE2_PAIR_SSRF3432_20260707T123717Z/family_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	deepaudit	E4_D1_low_information	partial	false	partial	tokens_v=301975; tokens_f=367407; iterations_v=26; iterations_f=37	differential_guard_unresolved	target_framing_limit	Low-information free repo audit already found real SSRF surfaces on both sides, but it did not distinguish vulnerable from fixed semantics.	artifacts/architecture_attribution/E4/AAE4_SSRF3432_D1D2_20260707T004749Z/experiment_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	deepaudit	E4_D2_cve_hint_only	partial	false	partial	tokens_v=407604; tokens_f=295330; iterations_v=31; iterations_f=27	differential_guard_unresolved	target_framing_limit	CVE hint improved vulnerable-side target mechanism recall, but fixed-side outputs were still not repair-aware and remained polluted by patch-adjacent risk claims.	artifacts/architecture_attribution/E4/AAE4_SSRF3432_D1D2_20260707T004749Z/experiment_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	deepaudit	E4_D3_cve_plus_diff	false	false	true	tokens_v=370115; tokens_f=436815; iterations_v=30; iterations_f=31	target_framing_limit	differential_guard_unresolved	Real diff evidence alone was not enough: attention drifted toward more generic LEGACY and include-path surfaces instead of stabilizing on the repair delta.	artifacts/architecture_attribution/E4/AAE4_SSRF3432_D3_20260707T013951Z/experiment_matrix.tsv
SSRF-JA-REPO-CVE-2023-3432-pair	SSRF-3432-pair	pair	ssrf	pair_context	architecture_attribution	deepaudit	E4_D4_target_files_info_control	partial	false	partial	tokens_v=479619; tokens_f=400247; iterations_v=30; iterations_f=31	differential_guard_unresolved	target_framing_limit	target_files pulled attention back onto the patch files, but DeepAudit still did not explain why the fixed side was no longer vulnerable.	artifacts/architecture_attribution/E4/AAE4_SSRF3432_D4_20260707T020239Z/experiment_matrix.tsv
jmrozanec__cron-utils_CVE-2021-41269_9.1.5	cron-utils	vulnerable	code_injection	repo	architecture_attribution	deepaudit	E4_D1_low_information	true	not_applicable	false	tokens=516100; time=400s; tool_calls=30			Low-information repo audit still recovered the true entry, exception-message bridge, and template sink; this is a strong architecture signal rather than an information-hint effect.	artifacts/architecture_attribution/E4/AAE4_CRONUTILS_20260708T015906Z/experiment_matrix.tsv
